Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 8
  ghost atom cutoff = 8
  binsize = 4, bins = 4 4 4
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair deepmd, perpetual
      attributes: , newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
WARNING: Proc sub-domain size < neighbor skin, could lead to lost atoms (src/domain.cpp:963)
Per MPI rank memory allocation (min/avg/max) = 4.263 | 4.265 | 4.267 Mbytes
Step        CPU                Time   Temp         Press        Volume       Density      TotEng
   28300    581.21359         28.3     5188.132    4719396.5    2442.0705    7.0158985   -552538.39 
   28400    583.34464         28.4    4844.4699    4733903.7    2443.6522    7.0113573   -552552.71 
   28500    585.49063         28.5     4721.152    4699643.3    2441.5286    7.0174555   -552540.53 
   28600    587.61849         28.6    4965.9848    4692538.7    2443.0346    7.0131296   -552530.15 
   28700    589.75091         28.7    4899.2565    4604659.6    2443.8498    7.0107903   -552499.32 
   28800    591.74862         28.8    5181.1013    4768103.9    2433.3003    7.0411853   -552466.75 
   28900    593.73698         28.9    4849.5658    4648207.7    2451.1132     6.990015   -552541.42 
   29000    595.78219           29    4964.5081    4666932.7    2456.7217    6.9740574   -552591.71 
   29100     597.7963         29.1    5153.3274    4764808.5    2435.9303    7.0335832   -552531.17 
   29200    599.70293         29.2    4882.0359    4761561.8     2433.359    7.0410155   -552504.87 
   29300    601.76013         29.3    5053.5921    4632724.5     2460.687     6.962819   -552574.13 
   29400    603.77285         29.4    5178.9062    4636051.6    2457.5411    6.9717321    -552532.3 
