# Chunk-averaged data for fix allrho1 and group c_keatom
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass c_keatom
10000 5 4352.08
  11 129.997 1108.06 4.07882 0.771691
  12 137.997 1205.7 4.44767 0.763625
  13 145.997 1089.17 4.00833 0.720196
  14 153.997 1191.96 4.39307 0.792289
  15 161.997 1085.3 3.99749 0.713569
  16 169.997 1175.2 4.32699 0.756531
  17 177.997 1128.11 4.15833 0.678988
  18 185.997 1146.76 4.22726 0.805036
  19 193.997 921.231 3.39046 0.378915
  20 201.997 1228.21 4.52177 0.691751
  21 209.997 1055.8 3.89348 0.833951
  22 217.997 1024 3.77246 0.0403448
  23 225.997 1024 3.77246 0.0277464
  24 233.997 768.051 2.82954 0.00893765
260000 25 29952.1
  1 51.9979 1398.27 5.15324 2.36178
  2 59.9979 1434.2 5.2855 2.24572
  3 67.9979 1424.71 5.24591 2.32289
  4 75.9979 1431.26 5.26984 2.21412
  5 83.9979 1422.08 5.24567 2.11803
  6 91.9979 1405.12 5.17595 2.03372
  7 99.9979 1411.59 5.19843 2.01578
  8 107.998 1392.18 5.12695 1.8753
  9 115.998 1312.14 4.83424 1.58898
  10 123.998 1217.62 4.48534 1.15425
  11 131.998 1200.51 4.42192 0.840459
  12 139.998 1090.73 4.02093 0.778005
  13 147.998 1215.55 4.47446 0.743236
  14 155.998 1078.2 3.97423 0.749772
  15 163.998 1213 4.46682 0.748638
  16 171.998 1088.89 4.0132 0.725616
  17 179.998 1151.13 4.239 0.702124
  18 187.998 1136.42 4.19124 0.783163
  19 195.998 1040.38 3.83007 0.761297
  20 203.998 1032.27 3.80283 0.235081
  21 211.998 1198.43 4.41689 0.891243
  22 219.998 1097.3 4.04079 0.567504
  23 227.998 1024 3.77246 0.023844
  24 235.998 768 2.82935 0.0291503
  25 243.998 768.051 2.82954 0.00910819
270000 26 30976.1
  1 53.9988 1408.73 5.19337 2.38755
  2 61.9988 1428.47 5.2616 2.27022
